"enabled","file","hud_section","group","show_speed","hide_speed","notes"
"true","gamedata/config/weapons/w_ak104.ltx","wpn_ak74u_snag_1p78_hud","w_ak104","0.97","0.98",""
"true","gamedata/config/weapons/w_ak104.ltx","wpn_ak74u_snag_pso_hud","w_ak104","0.98","0.98",""
"true","gamedata/config/weapons/w_ak74.ltx","wpn_ak74_hud","w_ak74","1.03","1.02",""
"true","gamedata/config/weapons/w_ak74.ltx","wpn_ak74_no_scope_hud","w_ak74","1.05","1.03",""
"true","gamedata/config/weapons/w_ak74.ltx","wpn_ak74_ekp_hud","w_ak74","1.01","1.01",""
"true","gamedata/config/weapons/w_ak74.ltx","wpn_ak74_okp_hud","w_ak74","1.01","1.01",""
"true","gamedata/config/weapons/w_ak74.ltx","wpn_ak74_rakurs_hud","w_ak74","0.99","0.99",""
"true","gamedata/config/weapons/w_ak74.ltx","wpn_ak74_1p78_hud","w_ak74","0.98","0.99",""
"true","gamedata/config/weapons/w_ak74.ltx","wpn_ak74_pso_hud","w_ak74","0.99","0.99",""
"true","gamedata/config/weapons/w_ak74u.ltx","wpn_ak74u_hud","w_ak74u","1.08","1.06",""
"true","gamedata/config/weapons/w_ak74u.ltx","wpn_ak74u_ekp_hud","w_ak74u","1.06","1.05",""
"true","gamedata/config/weapons/w_ak74u.ltx","wpn_ak74u_okp_hud","w_ak74u","1.06","1.05",""
"true","gamedata/config/weapons/w_ak74u.ltx","wpn_ak74u_rakurs_hud","w_ak74u","1.04","1.03",""
"true","gamedata/config/weapons/w_ak74u.ltx","wpn_ak74u_1p78_hud","w_ak74u","1.03","1.02",""
"true","gamedata/config/weapons/w_akm.ltx","wpn_akm_hud","w_akm","0.99","1.00",""
"true","gamedata/config/weapons/w_akm.ltx","wpn_akm_ekp_hud","w_akm","0.97","0.99",""
"true","gamedata/config/weapons/w_akm.ltx","wpn_akm_okp_hud","w_akm","0.97","0.99",""
"true","gamedata/config/weapons/w_akm.ltx","wpn_akm_rakurs_hud","w_akm","0.95","0.98",""
"true","gamedata/config/weapons/w_akm.ltx","wpn_akm_1p78_hud","w_akm","0.94","0.97",""
"true","gamedata/config/weapons/w_akm.ltx","wpn_akm_pso_hud","w_akm","0.95","0.97",""
"true","gamedata/config/weapons/w_apb.ltx","wpn_aps_hud","w_apb","1.25","1.20",""
"true","gamedata/config/weapons/w_awm.ltx","wpn_awm_hud","w_awm","0.75","0.80",""
"true","gamedata/config/weapons/w_beretta92.ltx","wpn_beretta_hud","w_beretta92","1.20","1.16",""
"true","gamedata/config/weapons/w_bizon-2.ltx","wpn_bizon_hud","w_bizon-2","1.08","1.06",""
"true","gamedata/config/weapons/w_bizon-2.ltx","wpn_bizon_ekp_hud","w_bizon-2","1.06","1.05",""
"true","gamedata/config/weapons/w_bizon-2.ltx","wpn_bizon_okp_hud","w_bizon-2","1.06","1.05",""
"true","gamedata/config/weapons/w_bizon-2.ltx","wpn_bizon_rakurs_hud","w_bizon-2","1.04","1.03",""
"true","gamedata/config/weapons/w_colt_m45a1.ltx","wpn_coltm45a1_hud","w_colt_m45a1","1.14","1.12",""
"true","gamedata/config/weapons/w_desert_eagle.ltx","wpn_desert_eagle_hud","w_desert_eagle","1.08","1.08",""
"true","gamedata/config/weapons/w_desert_eagle.ltx","wpn_desert_eagle_po_hud","w_desert_eagle","1.07","1.08",""
"true","gamedata/config/weapons/w_flame.ltx","wpn_flame_hud","w_flame","0.82","0.88",""
"true","gamedata/config/weapons/w_fn_fnx.ltx","wpn_beretta93_hud","w_fn_fnx","1.18","1.15",""
"true","gamedata/config/weapons/w_fn_scar.ltx","wpn_m110_hud","w_fn_scar","0.98","0.99",""
"true","gamedata/config/weapons/w_fn_scar.ltx","wpn_scarh_ac10632_hud","w_fn_scar","0.97","0.98",""
"true","gamedata/config/weapons/w_fn_scar.ltx","wpn_scarh_eot_hud","w_fn_scar","0.96","0.98",""
"true","gamedata/config/weapons/w_fn_scar.ltx","wpn_scarh_microt1_hud","w_fn_scar","0.97","0.99",""
"true","gamedata/config/weapons/w_fn_scar.ltx","wpn_scarh_specter_hud","w_fn_scar","0.94","0.96",""
"true","gamedata/config/weapons/w_fn_scar.ltx","wpn_mr308_hud","w_fn_scar","0.86","0.91",""
"true","gamedata/config/weapons/w_fn_scar.ltx","wpn_mr308_g28_scope_hud","w_fn_scar","0.81","0.87",""
"true","gamedata/config/weapons/w_fn2000.ltx","wpn_fn2000_hud","w_fn2000","1.03","1.02",""
"true","gamedata/config/weapons/w_fn2000.ltx","wpn_fn2000_nimble_ac10632_hud","w_fn2000","1.02","1.01",""
"true","gamedata/config/weapons/w_fn2000.ltx","wpn_fn2000_nimble_eot_hud","w_fn2000","1.01","1.01",""
"true","gamedata/config/weapons/w_fn2000.ltx","wpn_fn2000_nimble_microt1_hud","w_fn2000","1.02","1.02",""
"true","gamedata/config/weapons/w_fn2000.ltx","wpn_fn2000_nimble_specter_hud","w_fn2000","0.99","0.99",""
"true","gamedata/config/weapons/w_fort12.ltx","wpn_fort_hud","w_fort12","1.23","1.18",""
"true","gamedata/config/weapons/w_g36.ltx","wpn_g36_hud","w_g36","1.00","1.00",""
"true","gamedata/config/weapons/w_gauss_rifle.ltx","wpn_gauss_hud","w_gauss_rifle","0.76","0.82",""
"true","gamedata/config/weapons/w_glock17.ltx","wpn_glock_hud","w_glock17","1.25","1.20",""
"true","gamedata/config/weapons/w_glock17.ltx","wpn_glock_m1_hud","w_glock17","1.25","1.20",""
"true","gamedata/config/weapons/w_glock17.ltx","wpn_glock_m2_hud","w_glock17","1.18","1.15",""
"true","gamedata/config/weapons/w_glock17.ltx","wpn_mp9_ac10632_hud","w_glock17","1.17","1.14",""
"true","gamedata/config/weapons/w_glock17.ltx","wpn_mp9_eot_hud","w_glock17","1.16","1.14",""
"true","gamedata/config/weapons/w_glock17.ltx","wpn_mp9_microt1_hud","w_glock17","1.17","1.14",""
"true","gamedata/config/weapons/w_groza.ltx","wpn_groza_hud","w_groza","1.06","1.04",""
"true","gamedata/config/weapons/w_groza.ltx","wpn_groza_nimble_hud","w_groza","1.06","1.04",""
"true","gamedata/config/weapons/w_groza.ltx","wpn_groza_nimble_ac10632_hud","w_groza","1.05","1.03",""
"true","gamedata/config/weapons/w_groza.ltx","wpn_groza_nimble_eot_hud","w_groza","1.04","1.03",""
"true","gamedata/config/weapons/w_groza.ltx","wpn_groza_nimble_microt1_hud","w_groza","1.05","1.04",""
"true","gamedata/config/weapons/w_groza.ltx","wpn_groza_nimble_specter_hud","w_groza","1.02","1.01",""
"true","gamedata/config/weapons/w_m4a1.ltx","wpn_m16a4_hud","w_m4a1","1.03","1.02",""
"true","gamedata/config/weapons/w_m4a1.ltx","wpn_lr300_ac10632_hud","w_m4a1","1.02","1.01",""
"true","gamedata/config/weapons/w_m4a1.ltx","wpn_lr300_eot_hud","w_m4a1","1.01","1.01",""
"true","gamedata/config/weapons/w_m4a1.ltx","wpn_lr300_microt1_hud","w_m4a1","1.02","1.02",""
"true","gamedata/config/weapons/w_m4a1.ltx","wpn_lr300_specter_hud","w_m4a1","0.99","0.99",""
"true","gamedata/config/weapons/w_mg36.ltx","wpn_g36c_hud","w_mg36","0.92","0.96",""
"true","gamedata/config/weapons/w_mg36.ltx","wpn_g36_nimble_ac10632_hud","w_mg36","0.91","0.95",""
"true","gamedata/config/weapons/w_mg36.ltx","wpn_g36_nimble_eot_hud","w_mg36","0.90","0.95",""
"true","gamedata/config/weapons/w_mg36.ltx","wpn_g36_nimble_microt1_hud","w_mg36","0.91","0.96",""
"true","gamedata/config/weapons/w_mg36.ltx","wpn_g36_nimble_specter_hud","w_mg36","0.88","0.93",""
"true","gamedata/config/weapons/w_mosin.ltx","wpn_mosin_hud","w_mosin","0.90","0.94",""
"true","gamedata/config/weapons/w_mosin.ltx","wpn_mosin_pu_hud","w_mosin","0.88","0.93",""
"true","gamedata/config/weapons/w_mp133_short.ltx","wpn_wincheaster1300_hud","w_mp133_short","1.10","1.08",""
"true","gamedata/config/weapons/w_mp153.ltx","wpn_mp153_hud","w_mp153","0.92","0.96",""
"true","gamedata/config/weapons/w_mp153_short.ltx","wpn_mp153_m1_hud","w_mp153_short","1.08","1.06",""
"true","gamedata/config/weapons/w_mp5.ltx","wpn_mp5_hud","w_mp5","1.15","1.12",""
"true","gamedata/config/weapons/w_mp5.ltx","wpn_mp5_ac10632_hud","w_mp5","1.10","1.07",""
"true","gamedata/config/weapons/w_mp5.ltx","wpn_mp5_eot_hud","w_mp5","1.09","1.07",""
"true","gamedata/config/weapons/w_mp5.ltx","wpn_mp5_microt1_hud","w_mp5","1.10","1.08",""
"true","gamedata/config/weapons/w_mp5.ltx","wpn_mp5_specter_hud","w_mp5","1.06","1.05",""
"true","gamedata/config/weapons/w_mp5.ltx","wpn_mp5_ready_hud","w_mp5","1.15","1.12",""
"true","gamedata/config/weapons/w_mp5_mod.ltx","wpn_mp5_m1_ac10632_hud","w_mp5_mod","1.14","1.11",""
"true","gamedata/config/weapons/w_mp5_mod.ltx","wpn_mp5_m1_eot_hud","w_mp5_mod","1.13","1.11",""
"true","gamedata/config/weapons/w_mp5_mod.ltx","wpn_mp5_m1_microt1_hud","w_mp5_mod","1.14","1.11",""
"true","gamedata/config/weapons/w_mp5_mod.ltx","wpn_mp5_m1_specter_hud","w_mp5_mod","1.10","1.09",""
"true","gamedata/config/weapons/w_mp5_mod.ltx","wpn_mp5_m2_hud","w_mp5_mod","1.15","1.12",""
"true","gamedata/config/weapons/w_mp5_mod.ltx","wpn_sr2m_ac10632_hud","w_mp5_mod","1.14","1.11",""
"true","gamedata/config/weapons/w_mp5_mod.ltx","wpn_sr2m_eot_hud","w_mp5_mod","1.13","1.11",""
"true","gamedata/config/weapons/w_mp5_mod.ltx","wpn_sr2m_microt1_hud","w_mp5_mod","1.14","1.11",""
"true","gamedata/config/weapons/w_oreh_shotgun.ltx","wpn_hunters_toz_hud","w_oreh_shotgun","0.95","0.98",""
"true","gamedata/config/weapons/w_pb.ltx","wpn_pb_hud","w_pb","1.20","1.16",""
"true","gamedata/config/weapons/w_pernach.ltx","wpn_fort_m1_hud","w_pernach","1.17","1.14",""
"true","gamedata/config/weapons/w_pkm.ltx","wpn_pkm_hud","w_pkm","0.80","0.88",""
"true","gamedata/config/weapons/w_pkm_mod.ltx","wpn_pkm_zulus_hud","w_pkm_mod","0.80","0.88",""
"true","gamedata/config/weapons/w_pkm_mod.ltx","wpn_pkm_zulus_ac10632_hud","w_pkm_mod","0.79","0.87",""
"true","gamedata/config/weapons/w_pkm_mod.ltx","wpn_pkm_zulus_eot_hud","w_pkm_mod","0.79","0.87",""
"true","gamedata/config/weapons/w_pkm_mod.ltx","wpn_pkm_zulus_microt1_hud","w_pkm_mod","0.79","0.88",""
"true","gamedata/config/weapons/w_pm.ltx","wpn_pm_hud","w_pm","1.24","1.19",""
"true","gamedata/config/weapons/w_remington870.ltx","wpn_winchester_m1_hud","w_remington870","0.91","0.95",""
"true","gamedata/config/weapons/w_remington870.ltx","wpn_winchester1300_trapper_ac10632_hud","w_remington870","0.90","0.94",""
"true","gamedata/config/weapons/w_remington870.ltx","wpn_winchester1300_trapper_eot_hud","w_remington870","0.89","0.94",""
"true","gamedata/config/weapons/w_remington870.ltx","wpn_winchester1300_trapper_microt1_hud","w_remington870","0.90","0.95",""
"true","gamedata/config/weapons/w_rg6.ltx","wpn_rg-6_hud","w_rg6","0.78","0.85",""
"true","gamedata/config/weapons/w_rpg7.ltx","wpn_rpg7_hud","w_rpg7","0.72","0.80",""
"true","gamedata/config/weapons/w_rpk16.ltx","wpn_ak108_hud","w_rpk16","0.87","0.92",""
"true","gamedata/config/weapons/w_rpk16.ltx","wpn_rpk16_ac10632_hud","w_rpk16","0.86","0.91",""
"true","gamedata/config/weapons/w_rpk16.ltx","wpn_rpk16_eot_hud","w_rpk16","0.86","0.91",""
"true","gamedata/config/weapons/w_rpk16.ltx","wpn_rpk16_microt1_hud","w_rpk16","0.86","0.92",""
"true","gamedata/config/weapons/w_rpk16.ltx","wpn_rpk16_specter_hud","w_rpk16","0.83","0.89",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74_hud","w_rpk74","0.88","0.93",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74_ekp_hud","w_rpk74","0.86","0.92",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74_okp_hud","w_rpk74","0.86","0.92",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74_rakurs_hud","w_rpk74","0.85","0.91",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74_1p78_hud","w_rpk74","0.84","0.90",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74_pso_hud","w_rpk74","0.85","0.90",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk_hud","w_rpk74","0.85","0.90",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74m_ekp_hud","w_rpk74","0.83","0.89",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74m_okp_hud","w_rpk74","0.83","0.89",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74m_rakurs_hud","w_rpk74","0.82","0.88",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74m_1p78_hud","w_rpk74","0.81","0.87",""
"true","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74m_pso_hud","w_rpk74","0.82","0.88",""
"true","gamedata/config/weapons/w_sa58.ltx","wpn_soc308_hud","w_sa58","0.94","0.97",""
"true","gamedata/config/weapons/w_sa58.ltx","wpn_soc308_m1_hud","w_sa58","0.92","0.95",""
"true","gamedata/config/weapons/w_sa58.ltx","wpn_soc308_m1_ac10632_hud","w_sa58","0.91","0.94",""
"true","gamedata/config/weapons/w_sa58.ltx","wpn_soc308_m1_eot_hud","w_sa58","0.90","0.94",""
"true","gamedata/config/weapons/w_sa58.ltx","wpn_soc308_m1_microt1_hud","w_sa58","0.91","0.95",""
"true","gamedata/config/weapons/w_sa58.ltx","wpn_soc308_m1_specter_hud","w_sa58","0.88","0.92",""
"true","gamedata/config/weapons/w_saiga12_mod.ltx","wpn_saiga12c_m1_hud","w_saiga12_mod","0.90","0.94",""
"true","gamedata/config/weapons/w_saiga12_mod.ltx","wpn_saiga12m_ac10632_hud","w_saiga12_mod","0.89","0.93",""
"true","gamedata/config/weapons/w_saiga12_mod.ltx","wpn_saiga12m_eot_hud","w_saiga12_mod","0.88","0.93",""
"true","gamedata/config/weapons/w_saiga12_mod.ltx","wpn_saiga12m_microt1_hud","w_saiga12_mod","0.89","0.94",""
"true","gamedata/config/weapons/w_saiga12_mod.ltx","wpn_saiga12m_specter_hud","w_saiga12_mod","0.86","0.91",""
"true","gamedata/config/weapons/w_saiga12c.ltx","wpn_saiga12c_hud","w_saiga12c","0.94","0.97",""
"true","gamedata/config/weapons/w_saiga12c.ltx","wpn_saiga12_ekp_hud","w_saiga12c","0.92","0.96",""
"true","gamedata/config/weapons/w_saiga12c.ltx","wpn_saiga12_okp_hud","w_saiga12c","0.92","0.96",""
"true","gamedata/config/weapons/w_saiga12c.ltx","wpn_saiga12_rakurs_hud","w_saiga12c","0.90","0.94",""
"true","gamedata/config/weapons/w_sig220.ltx","wpn_sig220_hud","w_sig220","1.22","1.17",""
"true","gamedata/config/weapons/w_sig552.ltx","wpn_sig550_hud","w_sig552","1.04","1.03",""
"true","gamedata/config/weapons/w_sig552.ltx","wpn_sig550_ac10632_hud","w_sig552","1.03","1.02",""
"true","gamedata/config/weapons/w_sig552.ltx","wpn_sig550_eot_hud","w_sig552","1.02","1.02",""
"true","gamedata/config/weapons/w_sig552.ltx","wpn_sig550_microt1_hud","w_sig552","1.03","1.03",""
"true","gamedata/config/weapons/w_sig552.ltx","wpn_sig550_specter_hud","w_sig552","1.00","1.00",""
"true","gamedata/config/weapons/w_sks.ltx","wpn_ak47_hud","w_sks","0.98","1.00",""
"true","gamedata/config/weapons/w_sks.ltx","wpn_sks_ekp_hud","w_sks","0.96","0.99",""
"true","gamedata/config/weapons/w_sks.ltx","wpn_sks_okp_hud","w_sks","0.96","0.99",""
"true","gamedata/config/weapons/w_sks.ltx","wpn_sks_rakurs_hud","w_sks","0.94","0.98",""
"true","gamedata/config/weapons/w_sks.ltx","wpn_sks_pso_hud","w_sks","0.94","0.97",""
"true","gamedata/config/weapons/w_sks.ltx","wpn_sks_1p78_hud","w_sks","0.93","0.97",""
"true","gamedata/config/weapons/w_spas12.ltx","wpn_spas12_hud","w_spas12","0.90","0.94",""
"true","gamedata/config/weapons/w_spas12.ltx","wpn_spas12_m1_hud","w_spas12","1.03","1.04",""
"true","gamedata/config/weapons/w_spas12.ltx","wpn_spas12_nimble_ac10632_hud","w_spas12","1.01","1.02",""
"true","gamedata/config/weapons/w_spas12.ltx","wpn_spas12_nimble_eot_hud","w_spas12","1.00","1.02",""
"true","gamedata/config/weapons/w_spas12.ltx","wpn_spas12_nimble_microt1_hud","w_spas12","1.01","1.03",""
"true","gamedata/config/weapons/w_sv98.ltx","wpn_sv98_hud","w_sv98","0.84","0.89",""
"true","gamedata/config/weapons/w_svd.ltx","wpn_svd_hud","w_svd","0.89","0.93",""
"true","gamedata/config/weapons/w_svd.ltx","wpn_svd_ekp_hud","w_svd","0.87","0.92",""
"true","gamedata/config/weapons/w_svd.ltx","wpn_svd_okp_hud","w_svd","0.87","0.92",""
"true","gamedata/config/weapons/w_svd.ltx","wpn_svd_rakurs_hud","w_svd","0.86","0.91",""
"true","gamedata/config/weapons/w_svd.ltx","wpn_svd_1p78_hud","w_svd","0.85","0.90",""
"true","gamedata/config/weapons/w_svd.ltx","wpn_svd_pso_hud","w_svd","0.86","0.90",""
"true","gamedata/config/weapons/w_svu.ltx","wpn_svu_hud","w_svu","0.92","0.95",""
"true","gamedata/config/weapons/w_svu.ltx","wpn_svu_ekp_hud","w_svu","0.90","0.94",""
"true","gamedata/config/weapons/w_svu.ltx","wpn_svu_okp_hud","w_svu","0.90","0.94",""
"true","gamedata/config/weapons/w_svu.ltx","wpn_svu_rakurs_hud","w_svu","0.89","0.93",""
"true","gamedata/config/weapons/w_svu.ltx","wpn_svu_1p78_hud","w_svu","0.88","0.92",""
"true","gamedata/config/weapons/w_svu.ltx","wpn_svu_pso_hud","w_svu","0.88","0.92",""
"true","gamedata/config/weapons/w_taurus.ltx","wpn_eagle_m1_hud","w_taurus","1.17","1.14",""
"true","gamedata/config/weapons/w_toz34.ltx","wpn_shotgun_hud","w_toz34","0.94","0.97",""
"true","gamedata/config/weapons/w_toz34_hunter.ltx","wpn_toz34_m1_hud","w_toz34_hunter","0.96","0.98",""
"true","gamedata/config/weapons/w_toz66.ltx","wpn_bm16_full_hud","w_toz66","0.93","0.97",""
"true","gamedata/config/weapons/w_toz66_short.ltx","wpn_bm16_hud","w_toz66_short","1.14","1.11",""
"true","gamedata/config/weapons/w_ump45.ltx","wpn_ump45_hud","w_ump45","1.10","1.08",""
"true","gamedata/config/weapons/w_ump45.ltx","wpn_mp5_nimble_ac10632_hud","w_ump45","1.09","1.07",""
"true","gamedata/config/weapons/w_ump45.ltx","wpn_mp5_nimble_eot_hud","w_ump45","1.08","1.07",""
"true","gamedata/config/weapons/w_ump45.ltx","wpn_mp5_nimble_microt1_hud","w_ump45","1.09","1.08",""
"true","gamedata/config/weapons/w_ump45.ltx","wpn_mp5_nimble_specter_hud","w_ump45","1.05","1.05",""
"true","gamedata/config/weapons/w_usas12.ltx","wpn_spas15_hud","w_usas12","0.89","0.93",""
"true","gamedata/config/weapons/w_usas12_mod.ltx","wpn_spas15_m1_hud","w_usas12_mod","0.89","0.93",""
"true","gamedata/config/weapons/w_usas12_mod.ltx","wpn_usas12_m1_ac10632_hud","w_usas12_mod","0.88","0.92",""
"true","gamedata/config/weapons/w_usas12_mod.ltx","wpn_usas12_m1_eot_hud","w_usas12_mod","0.87","0.92",""
"true","gamedata/config/weapons/w_usas12_mod.ltx","wpn_usas12_m1_microt1_hud","w_usas12_mod","0.88","0.93",""
"true","gamedata/config/weapons/w_usas12_mod.ltx","wpn_usas12_m1_specter_hud","w_usas12_mod","0.85","0.90",""
"true","gamedata/config/weapons/w_usp.ltx","wpn_usp_hud","w_usp","1.23","1.18",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_hud","w_val","1.04","1.03",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_ekp_hud","w_val","1.02","1.02",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_okp_hud","w_val","1.02","1.02",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_rakurs_hud","w_val","1.00","1.00",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_1p78_hud","w_val","0.99","1.00",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_pso_hud","w_val","1.00","1.00",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_nimble_hud","w_val","1.10","1.07",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_nimble_ekp_hud","w_val","1.08","1.06",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_nimble_okp_hud","w_val","1.08","1.06",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_nimble_rakurs_hud","w_val","1.06","1.04",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_nimble_1p78_hud","w_val","1.05","1.03",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_nimble_pso_hud","w_val","1.06","1.04",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_nimble_ac10632_hud","w_val","1.09","1.06",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_nimble_eot_hud","w_val","1.08","1.06",""
"true","gamedata/config/weapons/w_val.ltx","wpn_val_nimble_microt1_hud","w_val","1.09","1.07",""
"true","gamedata/config/weapons/w_vector.ltx","wpn_aks47_hud","w_vector","1.10","1.07",""
"true","gamedata/config/weapons/w_vector.ltx","wpn_vector_ac10632_hud","w_vector","1.09","1.06",""
"true","gamedata/config/weapons/w_vector.ltx","wpn_vector_eot_hud","w_vector","1.08","1.06",""
"true","gamedata/config/weapons/w_vector.ltx","wpn_vector_microt1_hud","w_vector","1.09","1.07",""
"true","gamedata/config/weapons/w_vector.ltx","wpn_vector_specter_hud","w_vector","1.05","1.04",""
"true","gamedata/config/weapons/w_vintorez.ltx","wpn_vintorez_hud","w_vintorez","1.03","1.02",""
"true","gamedata/config/weapons/w_vintorez.ltx","wpn_vintorez_ekp_hud","w_vintorez","1.01","1.01",""
"true","gamedata/config/weapons/w_vintorez.ltx","wpn_vintorez_okp_hud","w_vintorez","1.01","1.01",""
"true","gamedata/config/weapons/w_vintorez.ltx","wpn_vintorez_rakurs_hud","w_vintorez","0.99","0.99",""
"true","gamedata/config/weapons/w_vintorez.ltx","wpn_vintorez_1p78_hud","w_vintorez","0.98","0.99",""
"true","gamedata/config/weapons/w_vintorez.ltx","wpn_vintorez_pso_hud","w_vintorez","0.99","0.99",""
"true","gamedata/config/weapons/w_vintorez_mod.ltx","wpn_vintorez_m1_hud","w_vintorez_mod","1.02","1.01",""
"true","gamedata/config/weapons/w_vintorez_mod.ltx","wpn_vintorez_nimble_ac10632_hud","w_vintorez_mod","1.01","1.00",""
"true","gamedata/config/weapons/w_vintorez_mod.ltx","wpn_vintorez_nimble_eot_hud","w_vintorez_mod","1.00","1.00",""
"true","gamedata/config/weapons/w_vintorez_mod.ltx","wpn_vintorez_nimble_microt1_hud","w_vintorez_mod","1.01","1.01",""
"true","gamedata/config/weapons/w_vintorez_mod.ltx","wpn_vintorez_nimble_specter_hud","w_vintorez_mod","0.98","0.98",""
"true","gamedata/config/weapons/w_vityaz.ltx","wpn_pp19_hud","w_vityaz","1.09","1.07",""
"true","gamedata/config/weapons/w_vityaz.ltx","wpn_vityaz_ac10632_hud","w_vityaz","1.08","1.06",""
"true","gamedata/config/weapons/w_vityaz.ltx","wpn_vityaz_eot_hud","w_vityaz","1.07","1.06",""
"true","gamedata/config/weapons/w_vityaz.ltx","wpn_vityaz_microt1_hud","w_vityaz","1.08","1.07",""
