"enabled","file","weapon_section","sound_key","source_sound","speed","output_sound","shared_references","notes"
"false","gamedata/config/weapons/w_beretta92.ltx","wpn_beretta","snd_reload","weapons\beretta\beretta_reload","1.00","","2",""
"false","gamedata/config/weapons/w_beretta92.ltx","wpn_beretta","snd_reload_empty","weapons\beretta\beretta_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_beretta92.ltx","wpn_beretta","snd_reload_jammed","weapons\glock\glock18_misfire","1.00","","8",""
"false","gamedata/config/weapons/w_binoc.ltx","wpn_binoc","snd_reload","weapons\generic_draw","1.00","","1",""
"false","gamedata/config/weapons/w_bizon-2.ltx","wpn_bizon","snd_reload","weapons\bizon\bizon_reload","1.00","","1",""
"false","gamedata/config/weapons/w_bizon-2.ltx","wpn_bizon","snd_reload_empty","weapons\bizon\bizon_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_bizon-2.ltx","wpn_bizon","snd_reload_jammed","weapons\bizon\bizon_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_bizon-2.ltx","wpn_bizon","snd_reload_grenade","weapons\gp25_grenload","1.00","","4",""
"false","gamedata/config/weapons/w_desert_eagle.ltx","wpn_desert_eagle","snd_reload","weapons\deagle\deagle_reload","1.00","","1",""
"false","gamedata/config/weapons/w_desert_eagle.ltx","wpn_desert_eagle","snd_reload_empty","weapons\deagle\deagle_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_desert_eagle.ltx","wpn_desert_eagle","snd_reload_jammed","weapons\deagle\deagle_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_flame.ltx","wpn_flame","snd_reload","weapons\flamer\flamer_reload","1.00","","1",""
"false","gamedata/config/weapons/w_flame.ltx","wpn_flame","snd_reload_grenade","weapons\gen_grenload","1.00","","2",""
"false","gamedata/config/weapons/w_fn_fnx.ltx","wpn_beretta93","snd_reload","weapons\usp45\usp45_reload","1.00","","2",""
"false","gamedata/config/weapons/w_fn_fnx.ltx","wpn_beretta93","snd_reload_jammed","weapons\glock\glock18_misfire","1.00","","8",""
"false","gamedata/config/weapons/w_fn_fnx.ltx","wpn_beretta93","snd_reload_empty","weapons\fnx45\fnx45_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_fn_scar.ltx","wpn_m110","snd_reload","weapons\scar\scar_reload","1.00","","1",""
"false","gamedata/config/weapons/w_fn_scar.ltx","wpn_m110","snd_reload_empty","weapons\scar\scar_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_fn_scar.ltx","wpn_m110","snd_reload_jammed","weapons\scar\scar_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_fn_scar.ltx","wpn_m110","snd_reload_grenade","weapons\m203\m203_reload","1.00","","3",""
"false","gamedata/config/weapons/w_fn_scar.ltx","wpn_mr308","snd_reload","weapons\g28\g28_reload","1.00","","1",""
"false","gamedata/config/weapons/w_fn_scar.ltx","wpn_mr308","snd_reload_empty","weapons\g28\g28_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_fn_scar.ltx","wpn_mr308","snd_reload_jammed","weapons\g28\g28_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_fn2000.ltx","wpn_fn2000","snd_reload","weapons\fn2000\fn2000_reload","1.00","","1",""
"false","gamedata/config/weapons/w_fn2000.ltx","wpn_fn2000","snd_reload_empty","weapons\fn2000\fn2000_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_fn2000.ltx","wpn_fn2000","snd_reload_jammed","weapons\fn2000\fn2000_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_fn2000.ltx","wpn_fn2000","snd_reload_grenade","weapons\m203\m203_reload","1.00","","3",""
"false","gamedata/config/weapons/w_fort12.ltx","wpn_fort","snd_reload","weapons\fort\fort_reload","1.00","","1",""
"false","gamedata/config/weapons/w_fort12.ltx","wpn_fort","snd_reload_empty","weapons\fort\fort_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_fort12.ltx","wpn_fort","snd_reload_jammed","weapons\glock\glock18_misfire","1.00","","8",""
"false","gamedata/config/weapons/w_g36.ltx","wpn_g36","snd_reload","weapons\g36\g36_reload","1.00","","1",""
"false","gamedata/config/weapons/w_g36.ltx","wpn_g36","snd_reload_empty","weapons\g36\g36_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_g36.ltx","wpn_g36","snd_reload_jammed","weapons\g36\g36_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_g36.ltx","wpn_g36","snd_reload_grenade","weapons\l85\l85_gl_reload","1.00","","1",""
"false","gamedata/config/weapons/w_gauss_pistol.ltx","wpn_gungauss","snd_reload","weapons\beretta\beretta_reload","1.00","","2",""
"false","gamedata/config/weapons/w_gauss_rifle.ltx","wpn_gauss","snd_reload","weapons\gauss\gauss_reload","1.00","","2",""
"false","gamedata/config/weapons/w_gauss_rifle.ltx","wpn_gauss","snd_reload_empty","weapons\gauss\gauss_reload","1.00","","2",""
"false","gamedata/config/weapons/w_gauss_rifle.ltx","wpn_gauss","snd_reload_jammed","weapons\gauss\gauss_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_glock17.ltx","wpn_glock","snd_reload","weapons\glock\glock18_reload","1.00","","1",""
"false","gamedata/config/weapons/w_glock17.ltx","wpn_glock","snd_reload_empty","weapons\glock\glock18_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_glock17.ltx","wpn_glock","snd_reload_jammed","weapons\glock\glock18_misfire","1.00","","8",""
"false","gamedata/config/weapons/w_glock17.ltx","wpn_glock_m2","snd_reload","weapons\mp9\mp9_reload","1.00","","1",""
"false","gamedata/config/weapons/w_glock17.ltx","wpn_glock_m2","snd_reload_empty","weapons\mp9\mp9_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_glock17.ltx","wpn_glock_m2","snd_reload_jammed","weapons\mp9\mp9_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_groza.ltx","wpn_groza","snd_reload","weapons\groza\groza_reload","1.00","","1",""
"false","gamedata/config/weapons/w_groza.ltx","wpn_groza","snd_reload_empty","weapons\groza\groza_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_groza.ltx","wpn_groza","snd_reload_jammed","weapons\groza\groza_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_groza.ltx","wpn_groza","snd_reload_grenade","weapons\groza\groza_grenload","1.00","","1",""
"false","gamedata/config/weapons/w_hk_m320.ltx","wpn_gm94","snd_reload","weapons\m320\m320_reload","1.00","","2",""
"false","gamedata/config/weapons/w_hk_m320.ltx","wpn_gm94","snd_reload_empty","weapons\m320\m320_reload","1.00","","2",""
"false","gamedata/config/weapons/w_m4a1.ltx","wpn_m16a4","snd_reload","weapons\m4\m4_reload","1.00","","1",""
"false","gamedata/config/weapons/w_m4a1.ltx","wpn_m16a4","snd_reload_empty","weapons\m4\m4_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_m4a1.ltx","wpn_m16a4","snd_reload_jammed","weapons\m4\m4_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_m4a1.ltx","wpn_m16a4","snd_reload_grenade","weapons\m203\m203_reload","1.00","","3",""
"false","gamedata/config/weapons/w_mg36.ltx","wpn_g36c","snd_reload","weapons\g36\mg36_reload","1.00","","1",""
"false","gamedata/config/weapons/w_mg36.ltx","wpn_g36c","snd_reload_empty","weapons\g36\mg36_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_mosin.ltx","wpn_mosin","snd_reload","weapons\mosin\mosin_reload","1.00","","1",""
"false","gamedata/config/weapons/w_mosin.ltx","wpn_mosin","snd_reload_jammed","weapons\mosin\mosin_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_mosin.ltx","wpn_mosin","snd_reload_empty","weapons\mosin\mosin_reload_full_reload","1.00","","1",""
"false","gamedata/config/weapons/w_mp133_short.ltx","wpn_wincheaster1300","snd_reload","weapons\mp133\mp133_reload","1.00","","2",""
"false","gamedata/config/weapons/w_mp133_short.ltx","wpn_wincheaster1300","snd_reload_jammed","weapons\mp133\mp133_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_mp153.ltx","wpn_winchester_m1","snd_reload_misfire","weapons\spas12\spas12_misfire","1.00","","3",""
"false","gamedata/config/weapons/w_mp153.ltx","wpn_winchester_m1","snd_reload","weapons\mp133\mp133_reload","1.00","","2",""
"false","gamedata/config/weapons/w_mp5.ltx","wpn_mp5","snd_reload","weapons\mp5\mp5_reload","1.00","","1",""
"false","gamedata/config/weapons/w_mp5.ltx","wpn_mp5","snd_reload_empty","weapons\mp5\mp5_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_mp5.ltx","wpn_mp5","snd_reload_jammed","weapons\mp5\mp5_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_mp5_mod.ltx","wpn_mp5_m2","snd_reload","weapons\sr2m\sr2m_reload","1.00","","1",""
"false","gamedata/config/weapons/w_mp5_mod.ltx","wpn_mp5_m2","snd_reload_empty","weapons\sr2m\sr2m_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_mp5_mod.ltx","wpn_mp5_m2","snd_reload_jammed","weapons\sr2m\sr2m_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_oreh_shotgun.ltx","wpn_hunters_toz_new","snd_reload","weapons\mp43\mp43_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_oreh_shotgun.ltx","wpn_hunters_toz_new","snd_reload_1","weapons\mp43\mp43_reload","1.00","","1",""
"false","gamedata/config/weapons/w_oreh_shotgun.ltx","wpn_hunters_toz_new","snd_reload_jammed_1","weapons\mp43\mp43_misfire","1.00","","2",""
"false","gamedata/config/weapons/w_oreh_shotgun.ltx","wpn_hunters_toz_new","snd_reload_jammed","weapons\mp43\mp43_misfire","1.00","","2",""
"false","gamedata/config/weapons/w_pb.ltx","wpn_pb","snd_reload","weapons\pm\pm_reload","1.00","","3",""
"false","gamedata/config/weapons/w_pb.ltx","wpn_pb","snd_reload_empty","weapons\pm\pm_reload_empty","1.00","","3",""
"false","gamedata/config/weapons/w_pb.ltx","wpn_pb","snd_reload_jammed","weapons\pm\pm_misfire","1.00","","3",""
"false","gamedata/config/weapons/w_pkm.ltx","wpn_pkm","snd_reload","weapons\pkm\pkm_reload","1.00","","1",""
"false","gamedata/config/weapons/w_pkm.ltx","wpn_pkm","snd_reload_empty","weapons\pkm\pkm_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_pkm.ltx","wpn_pkm","snd_reload_jammed","weapons\pkm\pkm_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_pm.ltx","wpn_pm","snd_reload","weapons\pm\pm_reload","1.00","","3",""
"false","gamedata/config/weapons/w_pm.ltx","wpn_pm","snd_reload_empty","weapons\pm\pm_reload_empty","1.00","","3",""
"false","gamedata/config/weapons/w_pm.ltx","wpn_pm","snd_reload_jammed","weapons\pm\pm_misfire","1.00","","3",""
"false","gamedata/config/weapons/w_remington870.ltx","wpn_mp153","snd_reload","weapons\mossberg\mossberg_reload","1.00","","1",""
"false","gamedata/config/weapons/w_remington870.ltx","wpn_mp153","snd_reload_jammed","weapons\mossberg\mossberg_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_rg6.ltx","wpn_rg6","snd_reload","weapons\rg6\rg6_empty","1.00","","1",""
"false","gamedata/config/weapons/w_rpg7.ltx","wpn_rpg7","snd_reload","weapons\rpg7\rpg7_reload","1.00","","1",""
"false","gamedata/config/weapons/w_rpk16.ltx","wpn_ak108","snd_reload","weapons\rpk\rpk16_reload","1.00","","1",""
"false","gamedata/config/weapons/w_rpk16.ltx","wpn_ak108","snd_reload_empty","weapons\rpk\rpk16_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_rpk16.ltx","wpn_ak108","snd_reload_jammed","weapons\rpk\rpk16_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk74","snd_reload","weapons\ak74\ak74_reload","1.00","","3",""
"false","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk","snd_reload","weapons\rpk\762\rpk762_reload","1.00","","1",""
"false","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk","snd_reload_empty","weapons\rpk\762\rpk762_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_rpk74.ltx","wpn_rpk","snd_reload_misfire","weapons\rpk\762\rpk762_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_sa58.ltx","wpn_soc308","snd_reload","weapons\sa58\sa58_reload","1.00","","1",""
"false","gamedata/config/weapons/w_sa58.ltx","wpn_soc308","snd_reload_empty","weapons\sa58\sa58_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_sa58.ltx","wpn_soc308","snd_reload_jammed","weapons\sa58\sa58_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_saiga12c.ltx","wpn_saiga12c","snd_reload","weapons\saiga\saiga_reload","1.00","","1",""
"false","gamedata/config/weapons/w_saiga12c.ltx","wpn_saiga12c","snd_reload_empty","weapons\saiga\saiga_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_saiga12c.ltx","wpn_saiga12c","snd_reload_jammed","weapons\saiga\saiga_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_sig220.ltx","wpn_sig220","snd_reload","weapons\p220\p220_reload","1.00","","1",""
"false","gamedata/config/weapons/w_sig220.ltx","wpn_sig220","snd_reload_empty","weapons\p220\p220_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_sig220.ltx","wpn_sig220","snd_reload_jammed","weapons\glock\glock18_misfire","1.00","","8",""
"false","gamedata/config/weapons/w_sig552.ltx","wpn_sig550","snd_reload_grenade","weapons\m203\m203_reload_sig","1.00","","1",""
"false","gamedata/config/weapons/w_sig552.ltx","wpn_sig550","snd_reload","weapons\sig550\sig550_reload","1.00","","1",""
"false","gamedata/config/weapons/w_sig552.ltx","wpn_sig550","snd_reload_empty","weapons\sig550\sig550_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_sig552.ltx","wpn_sig550","snd_reload_jammed","weapons\sig550\sig550_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_sks.ltx","wpn_ak47","snd_reload","weapons\sks\reload","1.00","","1",""
"false","gamedata/config/weapons/w_sks.ltx","wpn_ak47","snd_reload_empty","weapons\sks\reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_sks.ltx","wpn_ak47","snd_reload_jammed","weapons\sks\misfire","1.00","","1",""
"false","gamedata/config/weapons/w_sks.ltx","wpn_ak47","snd_reload_grenade","weapons\gp25\gp25_grenload","1.00","","2",""
"false","gamedata/config/weapons/w_spas12.ltx","wpn_spas12","snd_reload","weapons\spas12\spas12_reload","1.00","","1",""
"false","gamedata/config/weapons/w_spas12.ltx","wpn_spas12","snd_reload_jammed","weapons\spas12\spas12_misfire","1.00","","3",""
"false","gamedata/config/weapons/w_spas12.ltx","wpn_spas12_m1","snd_reload_jammed","weapons\spas12\spas12_misfire","1.00","","3",""
"false","gamedata/config/weapons/w_spas12.ltx","wpn_spas12_m1","snd_reload","weapons\m1014\m1014_reload","1.00","","1",""
"false","gamedata/config/weapons/w_sv98.ltx","wpn_sv98","snd_reload","weapons\sv98\reload","1.00","","1",""
"false","gamedata/config/weapons/w_sv98.ltx","wpn_sv98","snd_reload_empty","weapons\sv98\reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_sv98.ltx","wpn_sv98","snd_reload_jammed","weapons\sv98\misfire","1.00","","1",""
"false","gamedata/config/weapons/w_svd.ltx","wpn_svd","snd_reload","weapons\svd\svd_reload","1.00","","1",""
"false","gamedata/config/weapons/w_svd.ltx","wpn_svd","snd_reload_empty","weapons\svd\svd_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_svd.ltx","wpn_svd","snd_reload_jammed","weapons\svd\svd_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_svu.ltx","wpn_svu","snd_reload","weapons\svu\svu_reload","1.00","","1",""
"false","gamedata/config/weapons/w_svu.ltx","wpn_svu","snd_reload_empty","weapons\svu\svu_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_svu.ltx","wpn_svu","snd_reload_jammed","weapons\svu\svu_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_taurus.ltx","wpn_eagle_m1","snd_reload","weapons\taurus\taurus_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_taurus.ltx","wpn_eagle_m1","snd_reload_jammed","weapons\taurus\taurus_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_toz34.ltx","wpn_toz34","snd_reload_jammed","weapons\toz34\toz34_misfire","1.00","","2",""
"false","gamedata/config/weapons/w_toz34.ltx","wpn_toz34","snd_reload_jammed_1","weapons\toz34\toz34_misfire","1.00","","2",""
"false","gamedata/config/weapons/w_toz34.ltx","wpn_toz34","snd_reload","weapons\toz34\toz34_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_toz34.ltx","wpn_toz34","snd_reload_1","weapons\toz34\toz34_reload","1.00","","1",""
"false","gamedata/config/weapons/w_toz66.ltx","wpn_bm16_full","snd_reload","weapons\bm16\toz66_reload_empty","1.00","","2",""
"false","gamedata/config/weapons/w_toz66.ltx","wpn_bm16_full","snd_reload_1","weapons\bm16\toz66_reload","1.00","","2",""
"false","gamedata/config/weapons/w_toz66.ltx","wpn_bm16_full","snd_reload_jammed_1","weapons\bm16\toz66_misfire","1.00","","4",""
"false","gamedata/config/weapons/w_toz66.ltx","wpn_bm16_full","snd_reload_jammed","weapons\bm16\toz66_misfire","1.00","","4",""
"false","gamedata/config/weapons/w_toz66_short.ltx","wpn_bm16","snd_reload","weapons\bm16\toz66_reload_empty","1.00","","2",""
"false","gamedata/config/weapons/w_toz66_short.ltx","wpn_bm16","snd_reload_1","weapons\bm16\toz66_reload","1.00","","2",""
"false","gamedata/config/weapons/w_toz66_short.ltx","wpn_bm16","snd_reload_jammed_1","weapons\bm16\toz66_misfire","1.00","","4",""
"false","gamedata/config/weapons/w_toz66_short.ltx","wpn_bm16","snd_reload_jammed","weapons\bm16\toz66_misfire","1.00","","4",""
"false","gamedata/config/weapons/w_ump45.ltx","wpn_ump45","snd_reload","weapons\ump45\ump45_reload","1.00","","1",""
"false","gamedata/config/weapons/w_ump45.ltx","wpn_ump45","snd_reload_empty","weapons\ump45\ump45_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_ump45.ltx","wpn_ump45","snd_reload_jammed","weapons\ump45\ump45_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_usas12.ltx","wpn_spas15","snd_reload","weapons\usas12\usas12_reload","1.00","","2",""
"false","gamedata/config/weapons/w_usas12.ltx","wpn_spas15","snd_reload_empty","weapons\usas12\usas12_reload_empty","1.00","","2",""
"false","gamedata/config/weapons/w_usas12.ltx","wpn_spas15","snd_reload_jammed","weapons\usas12\usas12_misfire","1.00","","2",""
"false","gamedata/config/weapons/w_usas12_mod.ltx","wpn_spas15_m1","snd_reload","weapons\usas12\usas12_reload","1.00","","2",""
"false","gamedata/config/weapons/w_usas12_mod.ltx","wpn_spas15_m1","snd_reload_empty","weapons\usas12\usas12_reload_empty","1.00","","2",""
"false","gamedata/config/weapons/w_usas12_mod.ltx","wpn_spas15_m1","snd_reload_jammed","weapons\usas12\usas12_misfire","1.00","","2",""
"false","gamedata/config/weapons/w_usp.ltx","wpn_usp","snd_reload","weapons\usp45\usp45_reload","1.00","","2",""
"false","gamedata/config/weapons/w_usp.ltx","wpn_usp","snd_reload_empty","weapons\usp45\usp45_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_usp.ltx","wpn_usp","snd_reload_jammed","weapons\glock\glock18_misfire","1.00","","8",""
"false","gamedata/config/weapons/w_val.ltx","wpn_val","snd_reload","weapons\vintorez\vintorez_reload","1.00","","2",""
"false","gamedata/config/weapons/w_val.ltx","wpn_val","snd_reload_empty","weapons\vintorez\vintorez_reload_empty","1.00","","2",""
"false","gamedata/config/weapons/w_val.ltx","wpn_val","snd_reload_jammed","weapons\vintorez\vintorez_misfire","1.00","","2",""
"false","gamedata/config/weapons/w_val.ltx","wpn_val_nimble","snd_reload","weapons\vihr\vihr_reload","1.00","","1",""
"false","gamedata/config/weapons/w_val.ltx","wpn_val_nimble","snd_reload_empty","weapons\vihr\vihr_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_val.ltx","wpn_val_nimble","snd_reload_jammed","weapons\vihr\vihr_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_vector.ltx","wpn_aks47","snd_reload","weapons\vector\vector_reload","1.00","","1",""
"false","gamedata/config/weapons/w_vector.ltx","wpn_aks47","snd_reload_empty","weapons\vector\vector_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_vector.ltx","wpn_aks47","snd_reload_jammed","weapons\vector\vector_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_vintorez.ltx","wpn_vintorez","snd_reload_grenade","weapons\gen_grenload","1.00","","2",""
"false","gamedata/config/weapons/w_vintorez.ltx","wpn_vintorez","snd_reload","weapons\vintorez\vintorez_reload","1.00","","2",""
"false","gamedata/config/weapons/w_vintorez.ltx","wpn_vintorez","snd_reload_empty","weapons\vintorez\vintorez_reload_empty","1.00","","2",""
"false","gamedata/config/weapons/w_vintorez.ltx","wpn_vintorez","snd_reload_jammed","weapons\vintorez\vintorez_misfire","1.00","","2",""
"false","gamedata/config/weapons/w_vityaz.ltx","wpn_pp19","snd_reload","weapons\vityaz\vityaz_reload","1.00","","1",""
"false","gamedata/config/weapons/w_vityaz.ltx","wpn_pp19","snd_reload_empty","weapons\vityaz\vityaz_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_vityaz.ltx","wpn_pp19","snd_reload_jammed","weapons\vityaz\vityaz_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_vpo101_hunter.ltx","wpn_saiga12c_m2","snd_reload","weapons\vpo101\vpo101_reload","1.00","","1",""
"false","gamedata/config/weapons/w_vpo101_hunter.ltx","wpn_saiga12c_m2","snd_reload_empty","weapons\vpo101\vpo101_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_vpo101_hunter.ltx","wpn_saiga12c_m2","snd_reload_jammed","weapons\vpo101\vpo101_misfire","1.00","","1",""
"false","gamedata/config/weapons/w_walther.ltx","wpn_walther","snd_reload","weapons\p99\p99_reload","1.00","","1",""
"false","gamedata/config/weapons/w_walther.ltx","wpn_walther","snd_reload_empty","weapons\p99\p99_reload_empty","1.00","","1",""
"false","gamedata/config/weapons/w_walther.ltx","wpn_walther","snd_reload_jammed","weapons\glock\glock18_misfire","1.00","","8",""
